Class;Organism;Km value
5.1.3.2;Bifidobacterium bifidum;0.53
5.1.3.2;Bifidobacterium bifidum;1.4
5.3.1.4;Bifidobacterium longum;120
5.3.1.4;Bifidobacterium longum;590
5.4.2.3;Blastocladiella emersonii;3.6
5.3.3.2;Bombyx mori;0.02
5.1.3.16;Bos taurus;0.05
5.1.3.16;Bos taurus;0.09
5.1.3.17;Bos taurus;0.063
5.1.3.3;Bos taurus;5
5.1.3.3;Bos taurus;12
5.1.3.3;Bos taurus;19
5.3.1.6;Bos taurus;2.6
5.3.1.6;Bos taurus;6.5
5.3.1.6;Bos taurus;9.1
5.3.2.2;Bos taurus;0.045
5.3.2.2;Bos taurus;0.068
5.3.2.2;Bos taurus;220
5.3.3.1;Bos taurus;0.01
5.3.3.3;Bos taurus;0.05
5.3.3.8;Bos taurus;0.021
5.3.3.8;Bos taurus;0.032
5.4.99.7;Bos taurus;0.011
5.5.1.4;Bos taurus;0.24
5.5.1.4;Bos taurus;0.9
5.5.1.4;Bos taurus;2.7
5.1.1.11;Brevibacillus brevis;0.0062
5.1.1.11;Brevibacillus brevis;0.0166
5.99.1.4;Brevundimonas vesicularis;0.27
5.1.1.8;Brucella abortus;9.8
5.1.1.8;Brucella melitensis;9
5.1.1.8;Brucella suis;7.6
5.3.1.8;Burkholderia cenocepacia;12.4
5.3.1.8;Burkholderia cepacia;9
5.4.2.9;Burkholderia gladioli;0.019
5.1.1.8;Burkholderia pseudomallei;14.4
5.1.3.25;Burkholderia thailandensis;0.0247
5.1.1.1;Caldanaerobacter subterraneus subsp. tengcongensis;20.16
5.1.3.11;Caldicellulosiruptor saccharolyticus;51.8
5.1.3.11;Caldicellulosiruptor saccharolyticus;70.9
5.3.1.14;Caldicellulosiruptor saccharolyticus;1.03
5.3.1.14;Caldicellulosiruptor saccharolyticus;3
5.3.1.14;Caldicellulosiruptor saccharolyticus;3.64
5.3.1.14;Caldicellulosiruptor saccharolyticus;3.65
5.3.1.14;Caldicellulosiruptor saccharolyticus;14.3
5.3.1.25;Caldicellulosiruptor saccharolyticus;141
5.3.1.3;Caldicellulosiruptor saccharolyticus;61
5.3.1.3;Caldicellulosiruptor saccharolyticus;152
5.1.3.2;Campylobacter jejuni;0.78
5.1.3.2;Campylobacter jejuni;0.784
5.1.3.2;Campylobacter jejuni;1.07
5.1.3.2;Campylobacter jejuni;1.087
5.1.3.7;Campylobacter jejuni;0.78
5.1.3.7;Campylobacter jejuni;0.784
5.1.3.7;Campylobacter jejuni;1.07
5.1.3.7;Campylobacter jejuni;1.087
5.3.1.8;Candida albicans;0.2
5.3.1.8;Candida albicans;0.8
5.3.1.8;Candida albicans;1
5.3.1.8;Candida albicans;4
5.1.3.3;Canis lupus familiaris;19
5.3.3.2;Capsicum annuum;0.006
5.3.1.9;Carassius auratus;0.36
5.3.1.8;Cassia coluteoides;1.6
5.3.1.8;Cassia coluteoides;1.9
5.3.1.9;Cassia coluteoides;0.14
5.3.1.9;Cassia coluteoides;0.23
5.3.1.9;Cassia coluteoides;0.35
5.3.1.9;Cassia coluteoides;0.46
5.3.1.9;Cassia coluteoides;0.83
5.3.1.9;Cassia coluteoides;1.1
5.3.1.9;Cassia coluteoides;1.3
5.3.1.9;Cassia coluteoides;1.5
5.4.2.2;Cassia corymbosa;0.065
5.4.2.8;Cassia corymbosa;0.15
5.4.2.8;Cassia corymbosa;0.3
5.4.4.4;Castellaniella defragrans;0.5
5.1.1.1;Cellana grata;20.4
5.1.1.1;Cellana grata;43
5.3.1.B3;Cellulomonas parahominis;15.4
5.3.1.B3;Cellulomonas parahominis;30.4
5.3.1.B3;Cellulomonas parahominis;32.8
5.3.1.B3;Cellulomonas parahominis;37.1
5.3.1.B3;Cellulomonas parahominis;37.6
5.3.1.B3;Cellulomonas parahominis;39.2
5.3.1.B3;Cellulomonas parahominis;40
5.3.1.B3;Cellulomonas parahominis;40.1
5.3.1.B3;Cellulomonas parahominis;40.3
5.3.1.B3;Cellulomonas parahominis;51
5.3.1.B3;Cellulomonas parahominis;51.1
5.3.1.B3;Cellulomonas parahominis;54.8
5.5.1.6;Cephalocereus senilis;0.004
5.5.1.6;Cephalocereus senilis;0.0072
5.5.1.6;Cephalocereus senilis;0.0119
5.5.1.6;Cephalocereus senilis;0.0162
5.3.1.1;Chlamydomonas reinhardtii;3.04
5.4.99.30;Chlamydomonas reinhardtii;0.148
5.4.99.30;Chlamydomonas reinhardtii;0.152
5.4.99.30;Chlamydomonas reinhardtii;0.371
5.4.99.30;Chlamydomonas reinhardtii;10.3
5.4.99.5;Chlamydomonas reinhardtii;0.46
5.3.2.6;Chloroflexus aurantiacus;0.017
5.3.2.6;Chloroflexus aurantiacus;0.063
5.3.2.6;Chloroflexus aurantiacus;0.069
5.3.2.6;Chloroflexus aurantiacus;0.07
5.3.2.6;Chloroflexus aurantiacus;0.121
