,biology,posterior_mean,q_0.01,q_0.5,q_0.99
49,Arabidopsis thaliana|1.14.13.168|NADPH,-3.86071674653125,-6.4293686,-3.8282800000000003,-1.5010743000000046
50,Arabidopsis thaliana|1.14.14.137|(+)-abscisic acid,-5.41441469375,-7.048126399999999,-5.461385,-3.3138783000000083
51,"Arabidopsis thaliana|1.14.14.147|(22S,24R)-22-hydroxy-5alpha-ergostan-3-one",-2.5522078506921875,-5.5703103,-2.581525,0.5242922299999871
52,Arabidopsis thaliana|1.14.14.147|3-epi-6-deoxocathasterone,-5.150651153125,-7.7611532,-5.33272,-1.2052176000000019
53,Arabidopsis thaliana|1.14.14.18|heme,-5.425724665625,-7.3195858000000005,-5.434685,-3.5230297000000004
54,Arabidopsis thaliana|1.14.14.42|L-dihomomethionine,-3.2037179559468747,-5.9707094,-3.267585,0.19266202999999377
55,Arabidopsis thaliana|1.14.14.42|L-hexahomomethionine,-2.9819061526250006,-5.7797481,-3.00734,0.11033242999998755
56,Arabidopsis thaliana|1.14.14.42|L-pentahomomethionine,-1.5072260988187498,-4.7656378,-1.4332250000000002,1.2875262999999821
57,Arabidopsis thaliana|1.14.14.42|L-tetrahomomethionine,-1.8255634967931251,-5.6653272999999995,-1.77045,1.3214499999999947
58,Arabidopsis thaliana|1.14.14.42|L-trihomomethionine,-3.12000371618125,-5.8824979,-3.15505,0.05539074699998995
59,Arabidopsis thaliana|1.14.14.45|(E)-p-hydroxyphenylacetaldehyde oxime,-2.6642845444687504,-5.6012314,-2.6791099999999997,0.22661218999999835
60,Arabidopsis thaliana|1.14.14.45|(E)-phenylacetaldehyde oxime,-1.8183132079206252,-4.8726759,-1.77836,0.8117683199999964
61,Arabidopsis thaliana|1.14.14.45|indole-3-acetaldoxime,-5.519799126749999,-7.1934987999999995,-5.588265,-3.3108186000000006
62,"Arabidopsis thaliana|1.14.14.58|(3S)-(E,E)-geranyllinalool",-5.254386130937501,-7.2977229999999995,-5.3587050000000005,-2.5099099000000105
63,"Arabidopsis thaliana|1.14.14.58|(3S,6E)-nerolidol",-5.312805596718749,-7.3903332,-5.44846,-2.1583254000000025
64,"Arabidopsis thaliana|1.14.14.58|(E,E)-geranyllinalool",-5.09237547953125,-7.624885,-5.307905,-0.48263699000000865
65,Arabidopsis thaliana|1.14.14.80|palmitic acid,-2.3520635502968745,-4.6590893,-2.35779,0.013453180999993378
66,Arabidopsis thaliana|1.14.14.82|apigenin,-4.51153897334375,-7.0423189,-4.6432649999999995,-0.6270124200000011
67,Arabidopsis thaliana|1.14.14.82|dihydrokaempferol,-4.2564161692499995,-6.8192854,-4.3838550000000005,-0.5469372200000037
68,Arabidopsis thaliana|1.14.14.82|kaempferol,-5.282278462734375,-7.7349596,-5.50406,-1.0967762000000019
69,Arabidopsis thaliana|1.14.14.82|naringenin,-5.9866528768125,-8.5769521,-6.150785,-2.195420200000009
